address,domains,first_seen,hostname,ip_version,known,last_seen,name,online,risk_score
18.160.37.53,"server-18-160-37-53.iad55.r.cloudfront.net,documentation.catosec.io",2022-09-22T00:00:00.342760Z,server-18-160-37-53.iad55.r.cloudfront.net,4,False,2022-09-22T00:00:00.342760Z,documentation.catosec.io,True,9.792595389799699
161.35.136.172,"thebadguys.xyz,repn.tempurl.host,operations.thebadguys.xyz,www.thebadguys.xyz",2022-09-28T00:00:00.410818Z,repn.tempurl.host,4,False,2022-10-27T00:00:00.953342Z,thebadguys.xyz,True,51.86021976802857
18.160.37.23,"server-18-160-37-23.iad55.r.cloudfront.net,documentation.catosec.io",2022-09-22T00:00:00.342760Z,server-18-160-37-23.iad55.r.cloudfront.net,4,False,2022-09-22T00:00:00.342760Z,documentation.catosec.io,True,9.792595389799699
99.84.208.99,"documentation.catosec.io,server-99-84-208-99.iad79.r.cloudfront.net",2022-10-25T00:00:00.907068Z,server-99-84-208-99.iad79.r.cloudfront.net,4,False,2022-10-25T00:00:00.907068Z,documentation.catosec.io,True,6.528396926533134
3.213.130.132,ec2-3-213-130-132.compute-1.amazonaws.com,2022-09-25T00:00:00.343612Z,ec2-3-213-130-132.compute-1.amazonaws.com,4,False,2022-09-29T00:00:00.592741Z,ec2-3-213-130-132.compute-1.amazonaws.com,True,16.320992316332834
18.160.37.92,"server-18-160-37-92.iad55.r.cloudfront.net,documentation.catosec.io",2022-09-22T00:00:00.342760Z,server-18-160-37-92.iad55.r.cloudfront.net,4,False,2022-09-22T00:00:00.342760Z,documentation.catosec.io,True,9.792595389799699
199.167.115.234,demo.catosec.io,2022-09-28T00:00:00.410818Z,,4,True,2022-10-27T00:00:00.953342Z,demo.catosec.io,True,0.1
13.224.214.110,"server-13-224-214-110.phl50.r.cloudfront.net,documentation.catosec.io",2022-09-24T00:00:00.745017Z,server-13-224-214-110.phl50.r.cloudfront.net,4,False,2022-09-24T00:00:00.745017Z,documentation.catosec.io,True,9.792595389799699
3.94.48.250,"catosec.io,www.catosec.io,ec2-3-94-48-250.compute-1.amazonaws.com",2022-09-28T00:00:00.410818Z,ec2-3-94-48-250.compute-1.amazonaws.com,4,False,2022-10-27T00:00:00.953342Z,catosec.io,True,0.1
13.224.214.30,"server-13-224-214-30.phl50.r.cloudfront.net,documentation.catosec.io",2022-09-24T00:00:00.745017Z,server-13-224-214-30.phl50.r.cloudfront.net,4,False,2022-09-24T00:00:00.745017Z,documentation.catosec.io,True,9.792595389799699
13.224.214.56,"server-13-224-214-56.phl50.r.cloudfront.net,documentation.catosec.io",2022-09-24T00:00:00.745017Z,server-13-224-214-56.phl50.r.cloudfront.net,4,False,2022-09-24T00:00:00.745017Z,documentation.catosec.io,True,9.792595389799699
13.224.214.129,"server-13-224-214-129.phl50.r.cloudfront.net,documentation.catosec.io",2022-09-24T00:00:00.745017Z,server-13-224-214-129.phl50.r.cloudfront.net,4,False,2022-09-24T00:00:00.745017Z,documentation.catosec.io,True,9.792595389799699
18.67.76.61,"documentation.catosec.io,server-18-67-76-61.iad89.r.cloudfront.net",2022-09-28T00:00:00.410818Z,server-18-67-76-61.iad89.r.cloudfront.net,4,False,2022-10-27T00:00:00.953342Z,documentation.catosec.io,True,6.528396926533134
18.67.76.63,"documentation.catosec.io,server-18-67-76-63.iad89.r.cloudfront.net",2022-09-28T00:00:00.410818Z,server-18-67-76-63.iad89.r.cloudfront.net,4,False,2022-10-27T00:00:00.953342Z,documentation.catosec.io,True,6.528396926533134
18.67.76.89,"documentation.catosec.io,server-18-67-76-89.iad89.r.cloudfront.net",2022-09-28T00:00:00.410818Z,server-18-67-76-89.iad89.r.cloudfront.net,4,False,2022-10-27T00:00:00.953342Z,documentation.catosec.io,True,6.528396926533134
3.86.53.17,"ec2-3-86-53-17.compute-1.amazonaws.com,jupyter.arctonyx.net",2022-09-28T00:00:00.410818Z,ec2-3-86-53-17.compute-1.amazonaws.com,4,False,2022-10-27T00:00:00.953342Z,jupyter.arctonyx.net,True,76.91134287631355
18.67.76.103,"documentation.catosec.io,server-18-67-76-103.iad89.r.cloudfront.net",2022-09-28T00:00:00.410818Z,server-18-67-76-103.iad89.r.cloudfront.net,4,False,2022-10-27T00:00:00.953342Z,documentation.catosec.io,True,6.528396926533134
54.173.108.16,"wordpress.arctonyx.net,ec2-54-173-108-16.compute-1.amazonaws.com",2022-09-28T00:00:00.410818Z,ec2-54-173-108-16.compute-1.amazonaws.com,4,False,2022-10-27T00:00:00.953342Z,wordpress.arctonyx.net,True,99.99
99.84.208.103,"documentation.catosec.io,server-99-84-208-103.iad79.r.cloudfront.net",2022-10-25T00:00:00.907068Z,server-99-84-208-103.iad79.r.cloudfront.net,4,False,2022-10-25T00:00:00.907068Z,documentation.catosec.io,True,6.528396926533134
108.138.85.65,"documentation.catosec.io,server-108-138-85-65.iad12.r.cloudfront.net",2022-10-15T00:00:00.364146Z,server-108-138-85-65.iad12.r.cloudfront.net,4,False,2022-10-15T00:00:00.364146Z,documentation.catosec.io,True,9.792595389799699
54.211.164.158,"jfrog.arctonyx.net,ec2-54-211-164-158.compute-1.amazonaws.com",2022-09-28T00:00:00.410818Z,ec2-54-211-164-158.compute-1.amazonaws.com,4,False,2022-10-27T00:00:00.953342Z,jfrog.arctonyx.net,True,99.99
52.5.250.80,ec2-52-5-250-80.compute-1.amazonaws.com,2022-09-28T00:00:00.410818Z,ec2-52-5-250-80.compute-1.amazonaws.com,4,False,2022-10-09T00:00:00.401330Z,ec2-52-5-250-80.compute-1.amazonaws.com,True,16.320992316332834
